"year","est","lwr","upr","log_est","se","type","region"
1991,31312942.9771714,20639040.3845926,47507072.9850186,17.2595420836848,0.21268098927868,"index","NBS"
1992,23225493.7658211,10445095.222695,51643718.8139884,16.9607611025381,0.407720774120646,"index","NBS"
1993,70211730.5571907,33141601.5996155,148746194.206038,18.0670259569903,0.383030538226466,"index","NBS"
1994,40279070.9715603,16447778.2050752,98639678.7519528,17.5113425612875,0.45696839626631,"index","NBS"
1995,23775897.8729288,9316593.57056869,60675966.5302684,16.9841829311055,0.478006389588782,"index","NBS"
1996,56836656.4446719,23021120.4389459,140323557.420977,17.8556920354776,0.461115311362832,"index","NBS"
1997,42557310.1523985,17976571.6779486,100749168.40952,17.566362199694,0.439692928982816,"index","NBS"
1998,62550353.8254541,27932469.3754671,140071638.890826,17.9514824515431,0.411324958456131,"index","NBS"
1999,9819733.91392887,3598846.87677246,26793908.5607452,16.0999045836223,0.512142341100211,"index","NBS"
2000,21595101.9386668,9244910.25016471,50443802.6029625,16.8879770848412,0.432861714148542,"index","NBS"
2001,28703651.4627868,11804866.9162417,69793214.3702173,17.1725349013055,0.453331006785563,"index","NBS"
2002,45579799.8242512,21204416.5775476,97975728.0480241,17.6349751900269,0.390443471915201,"index","NBS"
2003,60096429.7368968,26287494.8694824,137387791.611688,17.9114609923648,0.421873613527248,"index","NBS"
2004,32148377.8258417,14366423.7947479,71939837.7493854,17.285872550947,0.410960709622942,"index","NBS"
2005,35474931.7392522,17754846.0725779,70880410.720558,17.3843368568155,0.353153327040093,"index","NBS"
2006,11573124.3432651,5168469.57453651,25914287.6112775,16.2641961010277,0.411287618100822,"index","NBS"
2007,25617643.5269272,11753384.9695661,55836140.9561608,17.0587918723309,0.397527729536764,"index","NBS"
2008,13184638.7737015,5747514.27535928,30245196.6649749,16.3945629806329,0.423622560319775,"index","NBS"
2009,31805777.5879113,15450748.3978857,65473041.3000649,17.2751585164021,0.368369277175304,"index","NBS"
2010,9584247.2498625,7446209.83651661,12336181.4081604,16.0756313971956,0.128785878242009,"index","NBS"
2011,45124798.8614943,22089978.2932659,92179695.4825919,17.6249425172444,0.364449515466983,"index","NBS"
2012,25677738.4816774,10845783.6338486,60792864.3787119,17.0611349675528,0.43972645268077,"index","NBS"
2013,43671131.300469,19222332.5320689,99216247.8659156,17.592197830793,0.418688569531882,"index","NBS"
2014,150484982.980211,68434001.064714,330913431.19248,18.8293738563124,0.402044890546407,"index","NBS"
2015,133118521.048354,60691981.757449,291974988.012747,18.7067504250622,0.400736074849467,"index","NBS"
2016,212612765.506509,101579986.565998,445010770.177214,19.174983066785,0.376856912435263,"index","NBS"
2017,139719985.722305,118107870.500534,165286820.662413,18.755150875715,0.0857372663034639,"index","NBS"
2018,234620766.3226,185511949.434656,296729694.003853,19.2734810082653,0.119824218579135,"index","NBS"
2019,216866581.363499,184177935.271736,255356940.791531,19.1947928899915,0.0833586757043196,"index","NBS"
2021,122638452.455217,103458426.88546,145374238.458717,18.6247511738508,0.0867723885841449,"index","NBS"
2022,85403876.0284523,71474479.9612794,102047920.385494,18.2629020444789,0.0908440285382546,"index","NBS"
2023,53705684.0917232,43302207.7403297,66608624.6931393,17.7990294028854,0.109856724835882,"index","NBS"
2024,40781368.9354546,21454460.710871,77518613.7122036,17.523735891342,0.327706404883798,"index","NBS"
2025,47338792.5810469,38941988.1153936,57546144.7009568,17.672840656466,0.0996227714059481,"index","NBS"
