"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"26",2016,1,1,0,0,9498,0,0,2.40662668027465e-05,5.10642466055632e-05,0.000124052275109183,0.00113903340498048,0.00514907783778697,0.0247859425131412,0.0739886895101931,0.10043462787846,0.144332221472709,0.200216266841474,0.205103670190293,0.131185657178836,0.0654908888815139,0.0292308955587398,0.0115182904441283,0.00481772746039088,0.00152278355161781,0.000737261283580951,0.000134008332961647,5.26713594338107e-06,8.5077347312402e-06,0
"27",2017,1,1,0,0,8317,1.19972299078327e-05,4.48542069353239e-06,1.88902505545758e-06,0.00029972093605064,4.0707767005143e-05,0.000111679723356165,0.00243337836665792,0.00670978905214484,0.029582138353055,0.11052811999197,0.189919082146476,0.19973369090296,0.17927188978793,0.141268904768148,0.0833868056156881,0.0350050532573094,0.0144834985688362,0.00467184400613819,0.00186121385519651,0.000462818862995062,0.000192633745328797,1.86586170985085e-05,0,0
"28",2018,1,1,0,0,6390,0,0,0,6.93725026943977e-05,0,0.000449080908702918,0.00400228405477865,0.0203624025933348,0.0290426338129182,0.0589354829845503,0.122600202279202,0.214902783855363,0.231932513504431,0.155242552281418,0.088037170252811,0.0452981977527726,0.0180991561850757,0.00689104118723554,0.00313752315239459,0.000840379599469949,0.000142043756058921,4.04022915166969e-06,1.11391076371747e-05,0
"29",2019,1,1,0,0,4605,1.07385554486613e-05,8.3869269200877e-07,3.38871127659968e-05,1.83514681358702e-05,9.24537159237518e-06,0.00421080918626359,0.00932810257391467,0.00665849911054787,0.0274266953004574,0.0624353112309484,0.103641934238813,0.15814724337366,0.200469857499487,0.199173292384767,0.12653984789566,0.0595154386431898,0.0245943205888154,0.0113263005438196,0.00454432399627376,0.00140020602728735,0.000344833721961114,0.000169922483499875,0,0
"30",2020,1,1,0,0,3526,0,0,0.00119190023914144,0.00401576122305501,0.0215201250915594,0.0200583472977147,0.0391300928983442,0.029982101029662,0.0280581168371713,0.0434211724209127,0.0917555767568668,0.142479230208549,0.152259663438973,0.140600287959687,0.123188780706891,0.0853143022912503,0.0443787959558366,0.0200919274604336,0.00788749541042132,0.0038419859730261,0.000460281194829338,0.000200636952284887,0,0.000163418653388851
"31",2021,1,1,0,0,2894,0,0,0,9.95393181063678e-05,0.00014862098630559,0.00150370263135282,0.00702700495318201,0.0251255984578551,0.0585440555178213,0.0777024808532004,0.0935511068763745,0.11639385074812,0.144597534097366,0.146109204733352,0.125732296746687,0.0980011250119787,0.0563034998546923,0.0276232828628384,0.0137948741399856,0.00495075248948176,0.00146715613689021,0.000879783090196669,0.000333397870659975,0.000111132623553325
"32",2022,1,1,0,0,3871,6.23497922916499e-06,0.000338500921817145,0.000251229682629793,6.31275648564537e-05,0.000170235585816087,0.00240634096944733,0.00522334118498304,0.0155275849785895,0.0477602004730092,0.122247715027855,0.15799422938516,0.154747423010122,0.118933484479675,0.0958136422340604,0.0965841806282355,0.0705623680007308,0.0527803857854451,0.0323954851834075,0.0185309219667167,0.00615518047609891,0.0014404897203912,6.76977617240433e-05,0,0
"33",2023,1,1,0,0,3796,0,0,0,0.000524866554882937,0.000214485916363453,0.00740845107533971,0.0207212513920926,0.0164629210405761,0.0503176607813657,0.0986234350066473,0.142208333121187,0.182227558540783,0.163427020750336,0.10772714650282,0.0662758848343182,0.048675404274918,0.0368061319964927,0.0331101175833792,0.0172123151081635,0.00632951327738021,0.00134933168680796,0.000273749558404299,4.08153568260664e-05,6.36056409155512e-05
"34",2024,1,1,0,0,4532,2.98798563026092e-05,5.25797675992029e-06,5.14158788681489e-05,0.00013017451252734,0.000406594291315114,0.00362424548529532,0.00599235309040261,0.0175933746179414,0.0670358517318058,0.108255110830957,0.150993553102126,0.176919463123082,0.157970863841839,0.125208465237549,0.0801631435532576,0.0423217657112722,0.0255158921250587,0.0183497911644716,0.011333614290071,0.00671035948303646,0.00122659030881219,0.000141952086727468,0,2.02877005211084e-05
"35",2025,1,1,0,0,4585,0,8.00365166583029e-06,6.08903041936552e-05,0,0.000500198056106444,0.00455989177861165,0.00350730800487629,0.0133474683208083,0.0530742900755576,0.121398053855684,0.171963769029792,0.16967567091494,0.152041743377539,0.116705982646189,0.078250232636246,0.0465800473591811,0.030037385408751,0.0197989577316666,0.0113308040437833,0.00568486464507127,0.000872940749891579,0.000595444775899683,6.05263354535613e-06,0
