"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"21",2002,7,2,0,0,364,0.000283419918419297,0.0174025818682214,0.0529742419973031,0.0177303198137977,0.0687736916675205,0.206580882599849,0.133231150444662,0.144063659623419,0.128955766306257,0.0716757158744707,0.0496092705034595,0.0448956194371391,0.0299459333834916,0.0170634789282309,0.00832492077217189,0.00396738733872306,0.00151897525050405,0.00134977994710883,0.00123870031549958,0.000209459221496922,0.000155584288216835,4.94605000380054e-05,0,0
"22",2003,7,2,0,0,363,0.000374706830740551,0.0242523109676364,0.0918215883797218,0.0951950584622932,0.0366467815134163,0.0570113953522491,0.107343862725466,0.150351402322786,0.159712032264426,0.100042800443562,0.0634217409459094,0.0422092735654588,0.0278515366527992,0.0211718587922898,0.0115188723723033,0.00691447921554983,0.00275957661349767,0.00113604291974843,0.000165809310695108,9.88703494512943e-05,0,0,0,0
"23",2004,7,2,0,0,361,0.000209718388909212,0.028349117360735,0.0843115760298234,0.0472435652617796,0.0603038405731572,0.124055630565254,0.141671804787516,0.0951700819667389,0.0738817209138208,0.0849916958281095,0.0782718018847065,0.0665134785761965,0.0445357376490063,0.0269644467400951,0.0199461402230402,0.0103840934453166,0.00769392504503093,0.00313761557051955,0.00149206660065616,0.000526671020648312,0.000269807486043493,7.54640828973647e-05,0,0
"24",2005,7,2,0,0,360,0,0.0138568384472125,0.103176855355059,0.149437163884176,0.100657151576648,0.0696587047153107,0.102854170570168,0.0911393289229381,0.0774038378038907,0.0628123550995819,0.0464138266897066,0.0473586150966255,0.0448323095714443,0.0327326966076041,0.0259557837083551,0.0161564643616484,0.00901342672553516,0.00407313483369308,0.00183354433811411,0.000633791692287894,0,0,0,0
"25",2006,7,2,0,0,354,0.00429477929563815,0.140059392184743,0.139306235217252,0.0500178965962406,0.0309992103487947,0.0911387816775969,0.112882950128777,0.0813294977202287,0.0612286368048077,0.07232695801067,0.0530377181258081,0.0409040770047112,0.032638881173063,0.0265989751440428,0.0214496708448946,0.0196308988343698,0.0117249248509028,0.00618754679438495,0.00284662407954542,0.00114268765280178,0.000253657510726196,0,0,0
"26",2007,7,2,0,0,368,0.00114138088757886,0.355480180676138,0.266850962575313,0.0718193721423963,0.0345444074553195,0.0533085613388145,0.0338602928061721,0.0296007629069569,0.0300573910335886,0.0291979312800324,0.0213452980725689,0.021692680122726,0.016333741724217,0.0115340164434408,0.0066227706018275,0.00505668655482074,0.00532663858238414,0.00333651554676512,0.00130155496747128,0.00124180698943926,0.000307360078985599,3.96872130440887e-05,0,0
"27",2008,7,2,0,0,338,0.000481371695206986,0.102277246938525,0.0848755364930399,0.0256514838827992,0.21355500909129,0.213003449221587,0.0716593948679234,0.0509646800696382,0.049619148535484,0.0471984598671545,0.0399555571180568,0.0356047260318471,0.0247768748165089,0.0152400495395144,0.00783995916115063,0.00546873188218082,0.00437256321756844,0.00369731081193323,0.0023783304920481,0.00128312811112509,3.62253587379595e-05,6.07627966799315e-05,0,0
"28",2009,7,2,0,0,360,0.00896382106660075,0.263650257727034,0.159163695110445,0.0257892281038454,0.0563212431429975,0.116558412737928,0.0703891328995985,0.106047919714622,0.0796474675183346,0.0361508377073825,0.0245770915730533,0.0209435143277221,0.0145330364675462,0.00769102689179829,0.00400112810354254,0.0021651171148225,0.00155837382171472,0.000571128138699371,0.000826747632587465,0.000291350268427643,0.000159469931297673,0,0,0
"29",2010,7,2,0,0,405,0.000108990936831027,0.0171208580355907,0.0264401713171303,0.0174668420815312,0.177266126824079,0.236671976467866,0.0812986705178508,0.0843254514851,0.0998535363401735,0.0863615209768602,0.0835500203538911,0.0510482108401852,0.0200097054886866,0.00831626496998299,0.00463015254079016,0.00206200173000965,0.00166702691501731,0.000905465560068097,0.000605064823730718,0.000141437060070603,0.000122066472339023,2.84382622156316e-05,0,0
"30",2011,7,2,0,0,368,0.00036160799766977,0.0386577254276127,0.140855060558557,0.128412345338881,0.0113094111954111,0.0329285329204701,0.0685441072155369,0.17878657763762,0.15192721996153,0.0631170991439479,0.0574973964379945,0.0606902284285973,0.038788648580596,0.0177467602005914,0.00509807311188049,0.00275789416227587,0.000930517601698297,0.00105061687056388,0.00018379457511323,0.000322841268135669,3.35413653179074e-05,0,0,0
"31",2012,7,2,0,0,356,0.00611991096986149,0.213366987257617,0.13305722899745,0.0187823544948617,0.0471710105414011,0.125866760172571,0.0637409003376073,0.0240642062246121,0.0540225365042307,0.124983804381425,0.0924597328415632,0.0435898036323051,0.0252406567214832,0.016002756668027,0.00638882658601489,0.00261092968985092,0.00106430582603989,0.000845601362331231,0.000383491771134722,0.000176618185883601,4.49975279592971e-05,1.65793057688146e-05,0,0
"32",2013,7,2,0,0,354,0.00053419996824743,0.0395165556178812,0.0461472663660554,0.0446645217610261,0.231365651802778,0.156783615416119,0.0459949603492661,0.0651853038731771,0.112491895112839,0.0669180660541422,0.0472181360800355,0.0579907183063252,0.0454529600443447,0.0224627427401498,0.00956412378896803,0.00460700390834454,0.00173982527062855,0.00101605803177177,0.00027091852868454,7.54769792162373e-05,0,0,0,0
"33",2014,7,2,0,0,373,0.00010308680557876,0.04440963385281,0.153144092129074,0.0918562490855648,0.0322100924235674,0.107717833802851,0.0852804327093599,0.0854461962290662,0.166470848393817,0.0743441401306138,0.0580261117541579,0.048462478828206,0.0219158234513354,0.0161867758229057,0.00894743053758522,0.00315267240968922,0.00102803587437104,0.000772357005339899,0.000326833558626011,0.000172707360063503,2.61678354173629e-05,0,0,0
"34",2015,7,2,0,0,354,0,0.0133617925297347,0.0142203146859454,0.0197583950889434,0.0381490116950359,0.185964648565335,0.226911745742854,0.0841068386199242,0.11590885551011,0.0926868132566583,0.0944995361714935,0.0562514430372821,0.0264330432072147,0.0151040575997238,0.00942038526258091,0.00402264329135898,0.00221441094730814,0.000475035202437364,0.000340435452996441,0.000122826925854614,4.77672072077753e-05,0,0,0
"35",2016,7,2,0,0,376,4.53076380221456e-05,0.00947867854122732,0.0162018594618271,0.0662042356579564,0.0229173957733364,0.0329859351137195,0.0709271334572173,0.137878178763765,0.244728257049971,0.136898660003284,0.0794623759463005,0.0675936282090405,0.0582901289728866,0.0324606465209233,0.0119579069703485,0.00676538238479278,0.00294554728220986,0.00121529722319544,0.000532208248992576,0.000511236780983578,0,0,0,0
"36",2017,7,2,0,0,481,0,0.00769737789151077,0.0249663851474071,0.052511896935009,0.0562179874518545,0.052873242389926,0.0587268848240228,0.0745233405162423,0.0971827832582275,0.145114622308917,0.160872066062947,0.103751459899322,0.0662186962744199,0.0453189267377571,0.0313257648263785,0.0145767886631548,0.00496119101276164,0.00222801448177176,0.000810542616916264,7.64279441681103e-05,4.56007572865712e-05,0,0,0
"37",2018,7,2,0,0,364,0,0.00150293739114182,0.0187424927418645,0.0491573514217532,0.0356579254602835,0.0413334320611146,0.10402266610737,0.123775895915001,0.0902200729984079,0.0998268053315136,0.101374480615488,0.112375216035081,0.0955459555940792,0.0577165539168982,0.0322388575609811,0.0217299110557492,0.00896924689221851,0.00331012341120653,0.00216583459060472,0.000334240899243133,0,0,0,0
"38",2019,7,2,0,0,479,0,0.0167608264805797,0.176884299619263,0.283956415792266,0.166935311504368,0.0132189477897224,0.0133949185999915,0.0317408374538048,0.0371872754226691,0.0391217969541436,0.0455063286347973,0.0420205005045487,0.0416528333832926,0.0397289892162797,0.0268804307154697,0.0132959848942731,0.00677365598230616,0.00317504879023292,0.00128452296283366,0.000433110400902203,4.79648982555781e-05,0,0,0
"39",2021,7,2,0,0,476,0.0050400504741864,0.00853131623909664,0.0558340225002479,0.132285360587378,0.055591989694977,0.0298221901692148,0.0928203554969012,0.164665400943401,0.164085418734596,0.0844506161001682,0.0401513219839544,0.0282491269918783,0.0303344526954225,0.0308306564795216,0.0265970384296643,0.0221391589804832,0.0155898571686822,0.0071801527877909,0.00360922853564303,0.00184442442292696,0.000287999005938094,5.98615779273335e-05,0,0
"40",2022,7,2,0,0,481,6.19891871075508e-05,0.0261532153893284,0.108198500802027,0.0887218293539588,0.00851361243124751,0.033768659833393,0.141400769089392,0.112628038641701,0.082538800024016,0.124133943668349,0.0977596878029951,0.0604285858617942,0.0305315881499977,0.0214229798356272,0.018021956621848,0.0160198169777394,0.014642425222113,0.00907024556113115,0.00436249848075526,0.00127793724008678,0.000282693128830613,6.02266965605917e-05,0,0
"41",2023,7,2,0,0,438,0,0.0342792223614859,0.119282014454882,0.119796944047004,0.053468433025845,0.0719169554868734,0.161399959886639,0.0757004421358273,0.0599565009598357,0.090112196522789,0.0633313088997376,0.0490783541335168,0.0385916833935842,0.0227444314442578,0.0115918409689512,0.00974049283420524,0.00745797497171239,0.00611643910027244,0.00343943765154395,0.00169488902451697,0.000300478696519534,0,0,0
"42",2024,7,2,0,0,335,0,0.0202571444324018,0.0728746751777529,0.0860070560939141,0.0372079438751468,0.096665780906321,0.12876226996506,0.0916705409991048,0.11659721721539,0.103042015515916,0.062925649040198,0.0587524767743417,0.0467246253357726,0.0320090694721399,0.0185053343422009,0.0113014480003172,0.00646167850102281,0.00567421623245522,0.00203169367320296,0.00189362328797902,0.000562295592317932,7.32455670440974e-05,0,0
"43",2025,7,2,0,0,433,2.94009828287239e-05,0.0570105513253562,0.200767142220132,0.140453463042331,0.0352587939791947,0.0590069379541422,0.0936958543673545,0.0653846023787819,0.0681310445233039,0.0801847593510029,0.0590027462628359,0.0461856901824767,0.034593082990608,0.0232211296209836,0.0157568736654263,0.0106596737702319,0.00553663465633331,0.00268351889670674,0.00131031049809247,0.00100208365454378,0.000125705677333539,0,0,0
